1	350	62	213	40	97	4	23	136	101	88	79	60	1	1	1	1	
2	342	64	194	41	107	4	30	106	110	86	72	41	1	1	1	1	
3	299	60	153	40	88	3	21	106	93	81	59	51	1	1	1	1	
4	328	62	143	41	91	4	22	93	114	91	60	41	1	1	1	1	
5	337	61	157	41	100	5	25	88	116	84	78	46	1	1	1	1	
6	339	64	147	42	92	5	18	69	109	86	69	57	1	1	1	1	
7	316	66	205	43	109	5	36	116	103	78	81	39	1	1	1	1	
8	360	62	206	40	109	3	21	115	115	95	74	46	1	1	1	1	
9	363	64	196	42	97	6	21	89	112	98	72	47	1	1	1	1	
10	329	61	238	40	101	4	18	118	101	86	83	43	1	1	1	1	
